ukb_field	modality	region	side	measurement_type	dmri_measure	t1_anatomy_group	notes	ukb_link	subtype
25889	T1	amygdala	right	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Right Amygdala	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25889	Gray-Subcortical
25890	T1	ventral striatum	left	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Left Ventral Striatum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25890	Gray-Subcortical
25891	T1	ventral striatum	right	Regional grey matter volumes (FAST)	NA	Subcortical	Volume of grey matter in Right Ventral Striatum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25891	Gray-Subcortical
25892	T1	brain-stem	NA	Regional grey matter volumes (FAST)	NA	Brainstem	Volume of grey matter in Brain-Stem	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25892	Gray-Brainstem
25893	T1	i-iv cerebellum	left	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Left I-IV Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25893	Gray-Cerebellum
25894	T1	i-iv cerebellum	right	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Right I-IV Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25894	Gray-Cerebellum
25895	T1	v cerebellum	left	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Left V Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25895	Gray-Cerebellum
25896	T1	v cerebellum	right	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Right V Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25896	Gray-Cerebellum
25897	T1	vi cerebellum	left	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Left VI Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25897	Gray-Cerebellum
25898	T1	vi cerebellum	vermis	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Vermis VI Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25898	Gray-Cerebellum
25899	T1	vi cerebellum	right	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Right VI Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25899	Gray-Cerebellum
25900	T1	crus i cerebellum	left	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Left Crus I Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25900	Gray-Cerebellum
25901	T1	crus i cerebellum	vermis	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Vermis Crus I Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25901	Gray-Cerebellum
25902	T1	crus i cerebellum	right	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Right Crus I Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25902	Gray-Cerebellum
25903	T1	crus ii cerebellum	left	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Left Crus II Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25903	Gray-Cerebellum
25904	T1	crus ii cerebellum	vermis	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Vermis Crus II Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25904	Gray-Cerebellum
25905	T1	crus ii cerebellum	right	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Right Crus II Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25905	Gray-Cerebellum
25906	T1	viib cerebellum	left	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Left VIIb Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25906	Gray-Cerebellum
25907	T1	viib cerebellum	vermis	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Vermis VIIb Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25907	Gray-Cerebellum
25908	T1	viib cerebellum	right	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Right VIIb Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25908	Gray-Cerebellum
25909	T1	viiia cerebellum	left	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Left VIIIa Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25909	Gray-Cerebellum
25910	T1	viiia cerebellum	vermis	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Vermis VIIIa Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25910	Gray-Cerebellum
25911	T1	viiia cerebellum	right	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Right VIIIa Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25911	Gray-Cerebellum
25912	T1	viiib cerebellum	left	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Left VIIIb Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25912	Gray-Cerebellum
25913	T1	viiib cerebellum	vermis	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Vermis VIIIb Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25913	Gray-Cerebellum
25914	T1	viiib cerebellum	right	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Right VIIIb Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25914	Gray-Cerebellum
25915	T1	ix cerebellum	left	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Left IX Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25915	Gray-Cerebellum
25916	T1	ix cerebellum	vermis	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Vermis IX Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25916	Gray-Cerebellum
25917	T1	ix cerebellum	right	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Right IX Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25917	Gray-Cerebellum
25918	T1	x cerebellum	left	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Left X Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25918	Gray-Cerebellum
25919	T1	x cerebellum	vermis	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Vermis X Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25919	Gray-Cerebellum
25920	T1	x cerebellum	right	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Right X Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25920	Gray-Cerebellum
25056	dMRI	middle cerebellar peduncle	NA	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in middle cerebellar peduncle on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25056	FA
25057	dMRI	pontine crossing tract	NA	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in pontine crossing tract on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25057	FA
25058	dMRI	genu of corpus callosum	NA	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in genu of corpus callosum on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25058	FA
25059	dMRI	body of corpus callosum	NA	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in body of corpus callosum on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25059	FA
25060	dMRI	splenium of corpus callosum	NA	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in splenium of corpus callosum on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25060	FA
25061	dMRI	fornix	NA	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in fornix on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25061	FA
25062	dMRI	corticospinal tract	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in corticospinal tract (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25062	FA
25063	dMRI	corticospinal tract	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in corticospinal tract (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25063	FA
25064	dMRI	medial lemniscus	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in medial lemniscus (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25064	FA
25065	dMRI	medial lemniscus	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in medial lemniscus (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25065	FA
25066	dMRI	inferior cerebellar peduncle	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in inferior cerebellar peduncle (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25066	FA
25067	dMRI	inferior cerebellar peduncle	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in inferior cerebellar peduncle (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25067	FA
25068	dMRI	superior cerebellar peduncle	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in superior cerebellar peduncle (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25068	FA
25069	dMRI	superior cerebellar peduncle	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in superior cerebellar peduncle (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25069	FA
25070	dMRI	cerebral peduncle	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in cerebral peduncle (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25070	FA
25071	dMRI	cerebral peduncle	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in cerebral peduncle (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25071	FA
25072	dMRI	anterior limb of internal capsule	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in anterior limb of internal capsule (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25072	FA
25073	dMRI	anterior limb of internal capsule	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in anterior limb of internal capsule (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25073	FA
25074	dMRI	posterior limb of internal capsule	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in posterior limb of internal capsule (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25074	FA
25075	dMRI	posterior limb of internal capsule	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in posterior limb of internal capsule (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25075	FA
25076	dMRI	retrolenticular part of internal capsule	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in retrolenticular part of internal capsule (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25076	FA
25077	dMRI	retrolenticular part of internal capsule	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in retrolenticular part of internal capsule (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25077	FA
25078	dMRI	anterior corona radiata	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in anterior corona radiata (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25078	FA
25079	dMRI	anterior corona radiata	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in anterior corona radiata (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25079	FA
25080	dMRI	superior corona radiata	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in superior corona radiata (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25080	FA
25081	dMRI	superior corona radiata	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in superior corona radiata (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25081	FA
25082	dMRI	posterior corona radiata	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in posterior corona radiata (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25082	FA
25083	dMRI	posterior corona radiata	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in posterior corona radiata (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25083	FA
25084	dMRI	posterior thalamic radiation	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in posterior thalamic radiation (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25084	FA
25085	dMRI	posterior thalamic radiation	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in posterior thalamic radiation (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25085	FA
25086	dMRI	sagittal stratum	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in sagittal stratum (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25086	FA
25087	dMRI	sagittal stratum	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in sagittal stratum (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25087	FA
25088	dMRI	external capsule	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in external capsule (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25088	FA
25089	dMRI	external capsule	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in external capsule (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25089	FA
25090	dMRI	cingulum cingulate gyrus	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in cingulum cingulate gyrus (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25090	FA
25091	dMRI	cingulum cingulate gyrus	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in cingulum cingulate gyrus (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25091	FA
25092	dMRI	cingulum hippocampus	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in cingulum hippocampus (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25092	FA
25093	dMRI	cingulum hippocampus	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in cingulum hippocampus (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25093	FA
25094	dMRI	fornix cres+stria terminalis	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in fornix cres+stria terminalis (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25094	FA
25095	dMRI	fornix cres+stria terminalis	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in fornix cres+stria terminalis (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25095	FA
25096	dMRI	superior longitudinal fasciculus	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in superior longitudinal fasciculus (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25096	FA
25097	dMRI	superior longitudinal fasciculus	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in superior longitudinal fasciculus (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25097	FA
25098	dMRI	superior fronto-occipital fasciculus	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in superior fronto-occipital fasciculus (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25098	FA
25099	dMRI	superior fronto-occipital fasciculus	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in superior fronto-occipital fasciculus (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25099	FA
25100	dMRI	uncinate fasciculus	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in uncinate fasciculus (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25100	FA
25101	dMRI	uncinate fasciculus	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in uncinate fasciculus (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25101	FA
25102	dMRI	tapetum	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in tapetum (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25102	FA
25103	dMRI	tapetum	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in tapetum (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25103	FA
25344	dMRI	middle cerebellar peduncle	NA	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in middle cerebellar peduncle on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25344	ICVF
25345	dMRI	pontine crossing tract	NA	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in pontine crossing tract on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25345	ICVF
25346	dMRI	genu of corpus callosum	NA	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in genu of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25346	ICVF
25347	dMRI	body of corpus callosum	NA	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in body of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25347	ICVF
25348	dMRI	splenium of corpus callosum	NA	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25348	ICVF
25349	dMRI	fornix	NA	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in fornix on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25349	ICVF
25350	dMRI	corticospinal tract	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in corticospinal tract (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25350	ICVF
25351	dMRI	corticospinal tract	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in corticospinal tract (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25351	ICVF
25352	dMRI	medial lemniscus	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in medial lemniscus (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25352	ICVF
25353	dMRI	medial lemniscus	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in medial lemniscus (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25353	ICVF
25354	dMRI	inferior cerebellar peduncle	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in inferior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25354	ICVF
25355	dMRI	inferior cerebellar peduncle	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in inferior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25355	ICVF
25356	dMRI	superior cerebellar peduncle	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in superior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25356	ICVF
25357	dMRI	superior cerebellar peduncle	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in superior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25357	ICVF
25358	dMRI	cerebral peduncle	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25358	ICVF
25359	dMRI	cerebral peduncle	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in cerebral peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25359	ICVF
25360	dMRI	anterior limb of internal capsule	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in anterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25360	ICVF
25361	dMRI	anterior limb of internal capsule	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in anterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25361	ICVF
25362	dMRI	posterior limb of internal capsule	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25362	ICVF
25363	dMRI	posterior limb of internal capsule	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in posterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25363	ICVF
25364	dMRI	retrolenticular part of internal capsule	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in retrolenticular part of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25364	ICVF
25365	dMRI	retrolenticular part of internal capsule	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in retrolenticular part of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25365	ICVF
25366	dMRI	anterior corona radiata	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in anterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25366	ICVF
25367	dMRI	anterior corona radiata	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in anterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25367	ICVF
25368	dMRI	superior corona radiata	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25368	ICVF
25369	dMRI	superior corona radiata	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in superior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25369	ICVF
25370	dMRI	posterior corona radiata	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in posterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25370	ICVF
25371	dMRI	posterior corona radiata	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25371	ICVF
25372	dMRI	posterior thalamic radiation	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in posterior thalamic radiation (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25372	ICVF
