ukb_field	t1_or_dmri	anatomy	left_or_right	measurement_type	dmri_measure	t1_anatomy_group	notes	ukb_link
25900	T1	crus i cerebellum	left	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Left Crus I Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25900
25901	T1	crus i cerebellum	vermis	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Vermis Crus I Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25901
25902	T1	crus i cerebellum	right	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Right Crus I Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25902
25903	T1	crus ii cerebellum	left	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Left Crus II Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25903
25904	T1	crus ii cerebellum	vermis	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Vermis Crus II Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25904
25905	T1	crus ii cerebellum	right	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Right Crus II Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25905
25906	T1	viib cerebellum	left	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Left VIIb Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25906
25907	T1	viib cerebellum	vermis	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Vermis VIIb Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25907
25908	T1	viib cerebellum	right	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Right VIIb Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25908
25909	T1	viiia cerebellum	left	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Left VIIIa Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25909
25910	T1	viiia cerebellum	vermis	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Vermis VIIIa Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25910
25911	T1	viiia cerebellum	right	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Right VIIIa Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25911
25912	T1	viiib cerebellum	left	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Left VIIIb Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25912
25913	T1	viiib cerebellum	vermis	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Vermis VIIIb Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25913
25914	T1	viiib cerebellum	right	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Right VIIIb Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25914
25915	T1	ix cerebellum	left	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Left IX Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25915
25916	T1	ix cerebellum	vermis	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Vermis IX Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25916
25917	T1	ix cerebellum	right	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Right IX Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25917
25918	T1	x cerebellum	left	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Left X Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25918
25919	T1	x cerebellum	vermis	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Vermis X Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25919
25920	T1	x cerebellum	right	Regional grey matter volumes (FAST)	NA	Cerebellum	Volume of grey matter in Right X Cerebellum	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25920
25056	dMRI	middle cerebellar peduncle	NA	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in middle cerebellar peduncle on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25056
25057	dMRI	pontine crossing tract	NA	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in pontine crossing tract on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25057
25058	dMRI	genu of corpus callosum	NA	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in genu of corpus callosum on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25058
25059	dMRI	body of corpus callosum	NA	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in body of corpus callosum on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25059
25060	dMRI	splenium of corpus callosum	NA	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in splenium of corpus callosum on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25060
25061	dMRI	fornix	NA	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in fornix on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25061
25062	dMRI	corticospinal tract	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in corticospinal tract (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25062
25063	dMRI	corticospinal tract	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in corticospinal tract (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25063
25064	dMRI	medial lemniscus	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in medial lemniscus (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25064
25065	dMRI	medial lemniscus	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in medial lemniscus (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25065
25066	dMRI	inferior cerebellar peduncle	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in inferior cerebellar peduncle (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25066
25067	dMRI	inferior cerebellar peduncle	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in inferior cerebellar peduncle (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25067
25068	dMRI	superior cerebellar peduncle	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in superior cerebellar peduncle (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25068
25069	dMRI	superior cerebellar peduncle	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in superior cerebellar peduncle (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25069
25070	dMRI	cerebral peduncle	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in cerebral peduncle (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25070
25071	dMRI	cerebral peduncle	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in cerebral peduncle (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25071
25072	dMRI	anterior limb of internal capsule	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in anterior limb of internal capsule (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25072
25073	dMRI	anterior limb of internal capsule	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in anterior limb of internal capsule (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25073
25074	dMRI	posterior limb of internal capsule	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in posterior limb of internal capsule (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25074
25075	dMRI	posterior limb of internal capsule	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in posterior limb of internal capsule (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25075
25076	dMRI	retrolenticular part of internal capsule	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in retrolenticular part of internal capsule (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25076
25077	dMRI	retrolenticular part of internal capsule	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in retrolenticular part of internal capsule (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25077
25078	dMRI	anterior corona radiata	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in anterior corona radiata (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25078
25079	dMRI	anterior corona radiata	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in anterior corona radiata (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25079
25080	dMRI	superior corona radiata	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in superior corona radiata (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25080
25081	dMRI	superior corona radiata	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in superior corona radiata (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25081
25082	dMRI	posterior corona radiata	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in posterior corona radiata (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25082
25083	dMRI	posterior corona radiata	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in posterior corona radiata (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25083
25084	dMRI	posterior thalamic radiation	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in posterior thalamic radiation (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25084
25085	dMRI	posterior thalamic radiation	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in posterior thalamic radiation (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25085
25086	dMRI	sagittal stratum	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in sagittal stratum (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25086
25087	dMRI	sagittal stratum	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in sagittal stratum (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25087
25088	dMRI	external capsule	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in external capsule (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25088
25089	dMRI	external capsule	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in external capsule (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25089
25090	dMRI	cingulum cingulate gyrus	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in cingulum cingulate gyrus (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25090
25091	dMRI	cingulum cingulate gyrus	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in cingulum cingulate gyrus (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25091
25092	dMRI	cingulum hippocampus	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in cingulum hippocampus (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25092
25093	dMRI	cingulum hippocampus	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in cingulum hippocampus (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25093
25094	dMRI	fornix cres+stria terminalis	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in fornix cres+stria terminalis (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25094
25095	dMRI	fornix cres+stria terminalis	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in fornix cres+stria terminalis (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25095
25096	dMRI	superior longitudinal fasciculus	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in superior longitudinal fasciculus (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25096
25097	dMRI	superior longitudinal fasciculus	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in superior longitudinal fasciculus (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25097
25098	dMRI	superior fronto-occipital fasciculus	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in superior fronto-occipital fasciculus (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25098
25099	dMRI	superior fronto-occipital fasciculus	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in superior fronto-occipital fasciculus (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25099
25100	dMRI	uncinate fasciculus	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in uncinate fasciculus (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25100
25101	dMRI	uncinate fasciculus	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in uncinate fasciculus (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25101
25102	dMRI	tapetum	right	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in tapetum (right) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25102
25103	dMRI	tapetum	left	dMRI skeleton (TBSS-style measurement)	FA	NA	Mean FA (fractional anisotropy) in tapetum (left) on FA skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25103
25344	dMRI	middle cerebellar peduncle	NA	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in middle cerebellar peduncle on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25344
25345	dMRI	pontine crossing tract	NA	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in pontine crossing tract on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25345
25346	dMRI	genu of corpus callosum	NA	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in genu of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25346
25347	dMRI	body of corpus callosum	NA	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in body of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25347
25348	dMRI	splenium of corpus callosum	NA	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25348
25349	dMRI	fornix	NA	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in fornix on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25349
25350	dMRI	corticospinal tract	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in corticospinal tract (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25350
25351	dMRI	corticospinal tract	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in corticospinal tract (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25351
25352	dMRI	medial lemniscus	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in medial lemniscus (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25352
25353	dMRI	medial lemniscus	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in medial lemniscus (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25353
25354	dMRI	inferior cerebellar peduncle	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in inferior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25354
25355	dMRI	inferior cerebellar peduncle	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in inferior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25355
25356	dMRI	superior cerebellar peduncle	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in superior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25356
25357	dMRI	superior cerebellar peduncle	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in superior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25357
25358	dMRI	cerebral peduncle	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25358
25359	dMRI	cerebral peduncle	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in cerebral peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25359
25360	dMRI	anterior limb of internal capsule	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in anterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25360
25361	dMRI	anterior limb of internal capsule	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in anterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25361
25362	dMRI	posterior limb of internal capsule	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25362
25363	dMRI	posterior limb of internal capsule	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in posterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25363
25364	dMRI	retrolenticular part of internal capsule	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in retrolenticular part of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25364
25365	dMRI	retrolenticular part of internal capsule	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in retrolenticular part of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25365
25366	dMRI	anterior corona radiata	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in anterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25366
25367	dMRI	anterior corona radiata	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in anterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25367
25368	dMRI	superior corona radiata	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25368
25369	dMRI	superior corona radiata	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in superior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25369
25370	dMRI	posterior corona radiata	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in posterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25370
25371	dMRI	posterior corona radiata	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25371
25372	dMRI	posterior thalamic radiation	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in posterior thalamic radiation (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25372
25373	dMRI	posterior thalamic radiation	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25373
25374	dMRI	sagittal stratum	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in sagittal stratum (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25374
25375	dMRI	sagittal stratum	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25375
25376	dMRI	external capsule	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in external capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25376
25377	dMRI	external capsule	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in external capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25377
25378	dMRI	cingulum cingulate gyrus	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in cingulum cingulate gyrus (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25378
25379	dMRI	cingulum cingulate gyrus	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in cingulum cingulate gyrus (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25379
25380	dMRI	cingulum hippocampus	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in cingulum hippocampus (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25380
25381	dMRI	cingulum hippocampus	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in cingulum hippocampus (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25381
25382	dMRI	fornix cres+stria terminalis	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in fornix cres+stria terminalis (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25382
25383	dMRI	fornix cres+stria terminalis	left	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in fornix cres+stria terminalis (left) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25383
25384	dMRI	superior longitudinal fasciculus	right	dMRI skeleton (TBSS-style measurement)	ICVF	NA	Mean ICVF (intra-cellular volume fraction) in superior longitudinal fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data)	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25384
